N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
161,대웅,"29,700",300,+1.02%,500,"17,268","58,142",4.62,"30,573",21.92,11.13,
162,JB금융지주,"8,720",30,+0.35%,"5,000","17,177","196,983",41.79,"262,957",3.39,12.80,
163,롯데칠성,"185,000","3,500",+1.93%,500,"17,166","9,279",9.75,"34,551",13.52,9.96,
164,현대위아,"62,600","1,600",+2.62%,"5,000","17,024","27,195",6.62,"147,345",27.31,1.96,
165,오뚜기,"462,000","1,000",+0.22%,"5,000","16,965","3,672",11.93,"1,946",13.11,8.91,
166,아이에스동서,"54,800",100,-0.18%,500,"16,929","30,893",4.22,"48,103",16.13,8.69,
167,코오롱인더,"60,400","1,300",+2.20%,"5,000","16,622","27,519",19.43,"85,682",9.53,8.20,
168,롯데렌탈,"45,250",150,-0.33%,"5,000","16,577","36,634",3.92,"224,821",12.28,12.28,
169,동국제강,"17,200","1,150",+7.17%,"5,000","16,414","95,433",21.65,"1,746,107",2.98,23.41,
170,두산,"98,300",100,+0.10%,"5,000","16,243","16,524",10.80,"69,702",9.94,11.08,
171,한미반도체,"16,400",500,+3.14%,100,"16,223","98,920",5.75,"381,607",15.65,34.59,
172,아시아나항공,"21,800",50,+0.23%,"5,000","16,222","74,412",7.67,"482,555",-4.48,-47.21,
173,KODEX 단기채권,"103,255",15,-0.01%,0,"15,867","15,367",0.00,"25,365",N/A,N/A,
174,LIG넥스원,"72,000","2,100",+3.00%,"5,000","15,840","22,000",7.40,"194,802",15.08,14.63,
175,TIGER 미국S&P500,"13,695",0,0.00%,0,"15,715","114,750",0.09,"1,470,225",N/A,N/A,
176,KODEX 삼성그룹,"9,155",200,+2.23%,0,"15,637","170,800",0.10,"571,684",N/A,N/A,
177,DGB금융지주,"9,240",50,-0.54%,"5,000","15,629","169,146",50.28,"438,039",3.11,9.63,
178,일진하이솔루스,"42,550","1,550",+3.78%,500,"15,451","36,313",1.54,"84,420",149.82,4.97,
179,현대엘리베이,"36,800",350,+0.96%,"5,000","15,020","40,815",29.95,"62,274",13.28,10.62,
180,케이카,"31,200",400,+1.30%,500,"15,003","48,087",17.38,"108,857",31.08,20.96,
181,ESR켄달스퀘어리츠,"7,010",50,+0.72%,"1,000","14,938","213,089",53.98,"304,231",54.34,1.34,
182,대덕전자,"28,800",550,+1.95%,500,"14,232","49,417",17.17,"880,624",23.53,9.55,
183,한일시멘트,"20,400",50,-0.24%,500,"14,129","69,262",2.92,"138,265",17.97,5.89,
184,롯데리츠,"5,800",50,+0.87%,500,"14,092","242,969",9.44,"405,353",76.32,1.59,
185,PI첨단소재,"47,800","1,200",+2.58%,500,"14,037","29,366",10.43,"127,981",21.94,21.03,
186,NHN,"37,000",50,-0.13%,500,"13,882","37,518",19.17,"66,490",11.88,6.81,
187,KODEX 종합채권(AA-이상)액티브,"102,930",285,+0.28%,0,"13,818","13,425",0.00,"1,262",N/A,N/A,
188,코스모신소재,"45,200",0,0.00%,"1,000","13,599","30,087",6.63,"832,067",74.83,9.42,
189,LX인터내셔널,"35,000",650,-1.82%,"5,000","13,566","38,760",25.46,"580,784",3.88,22.49,
190,TIGER 미국테크TOP10 INDXX,"11,645",45,+0.39%,0,"13,543","116,300",0.23,"1,260,932",N/A,N/A,
191,KODEX MSCI Korea TR,"11,610",210,+1.84%,0,"13,514","116,400",4.88,"370,869",N/A,N/A,
192,티와이홀딩스,"26,450",100,-0.38%,500,"13,471","50,929",5.82,"39,090",7.59,11.58,
193,더존비즈온,"43,600",550,+1.28%,500,"13,247","30,383",32.21,"129,730",25.54,12.10,
194,KODEX 2차전지산업,"20,010",485,+2.48%,0,"13,247","66,200",0.63,"2,555,639",N/A,N/A,
195,한국앤컴퍼니,"13,950",0,0.00%,500,"13,243","94,935",9.76,"57,158",6.68,5.53,
196,LS ELECTRIC,"43,750",100,+0.23%,"5,000","13,125","30,000",16.11,"47,655",15.49,5.86,
197,KODEX 단기채권PLUS,"103,655",15,+0.01%,0,"12,910","12,455",0.00,"960,018",N/A,N/A,
198,TIGER MSCI Korea TR,"14,595",270,+1.88%,0,"12,858","88,100",0.00,"1,613",N/A,N/A,
199,TIGER 2차전지테마,"20,705",460,+2.27%,0,"12,806","61,850",0.88,"3,840,642",N/A,N/A,
200,영풍,"694,000","15,000",+2.21%,"5,000","12,784","1,842",4.06,549,10.30,3.66,
