iter	RMSE
0	589.8274986
1	575.2010385
2	560.8994517
3	547.7026662
4	534.5160788
5	521.3801697
6	508.5567331
7	497.3169623
8	485.1042919
9	474.5257955
10	463.9365821
11	454.3109983
12	443.8941811
13	434.2721192
14	424.3450728
15	415.1180223
16	406.4383745
17	398.3510359
18	390.6766461
19	383.2757364
20	375.3426184
21	367.9144976
22	360.5487976
23	353.8604382
24	347.0916908
25	340.8236925
26	334.723741
27	328.8621863
28	323.0773449
29	317.2024296
30	311.6387329
31	306.5052566
32	301.6184223
33	296.8235748
34	292.1159074
35	287.5725677
36	283.1168304
37	279.1510792
38	275.4263727
39	271.5421749
40	267.5279977
41	263.9754718
42	260.4057583
43	257.165495
44	254.2784632
45	250.8291393
46	247.6966961
47	244.5739216
48	241.4426746
49	238.6567472
50	236.0109462
51	233.4518958
52	230.945136
53	228.6206156
54	226.2192747
55	223.8645478
56	221.631565
57	219.3350123
58	217.2313267
59	215.209325
60	213.2152171
61	211.1168918
62	209.1286106
63	207.4217502
64	205.4062177
65	203.8630188
66	202.3033768
67	200.4477316
68	199.2848333
69	197.9437312
70	196.2684069
71	194.7735797
72	193.0459905
73	191.8418283
74	190.1726962
75	188.8312066
76	187.445641
77	185.975708
78	184.586071
79	183.4704629
80	182.3100216
81	181.1200921
82	179.7559231
83	179.0022773
84	177.7670344
85	176.7818022
86	175.7399437
87	174.6348221
88	173.8030955
89	172.8532539
90	171.6549409
91	170.7663573
92	169.5478515
93	168.3460722
94	167.3277312
95	166.2171512
96	165.184544
97	164.4164823
98	163.6018368
99	162.6504317
100	161.9073301
101	161.0938046
102	160.4207858
103	159.5460951
104	158.8239062
105	158.0485907
106	157.4083338
107	156.6354563
108	155.9067293
109	155.2257349
110	154.5576182
111	153.7781693
112	152.7534579
113	152.1402921
114	151.4511875
115	150.8748728
116	150.2659835
117	149.5102891
118	148.9014775
119	148.0446277
120	147.4111006
121	146.8906003
122	146.1806227
123	145.6217908
124	144.8727913
125	144.1328382
126	143.684623
127	142.8688265
128	142.0417644
129	141.5930065
130	140.8885686
131	140.157814
132	139.5732102
133	139.1589551
134	138.456285
135	137.7521909
136	137.1369866
137	136.6318568
138	136.2851925
139	135.9425738
140	135.5188395
141	134.9012681
142	134.1205623
143	133.4883528
144	132.9237896
145	132.5286538
146	132.1588832
147	131.6999379
148	131.2429375
149	130.8064805
150	130.3753223
151	129.7758909
152	129.1851897
153	128.7440409
154	128.4312742
155	128.0101331
156	127.4911516
157	127.0951065
158	126.6897498
159	126.1482018
160	125.7327782
161	125.3903178
162	125.0264135
163	124.6016288
164	124.012167
165	123.4252777
166	122.9831259
167	122.5382597
168	122.198077
169	121.6041326
170	121.2570611
171	120.8408956
172	120.4155934
173	119.8822986
174	119.5840571
175	119.3260427
176	118.7672361
177	118.2549818
178	117.9716643
179	117.6859926
180	117.2947486
181	116.9594896
182	116.5010111
183	116.0250733
184	115.5966957
185	115.2341828
186	114.8926634
187	114.4184499
188	114.0313754
189	113.6841415
190	113.3988363
191	113.0442651
192	112.6897672
193	112.3114448
194	111.9625754
195	111.8603829
196	111.4875756
197	111.0241703
198	110.6065509
199	110.3803885
200	110.0008708
201	109.5521735
202	109.3054369
203	109.0833005
204	108.8940597
205	108.7126292
206	108.3951336
207	108.1256028
208	107.8231495
209	107.594431
210	107.3646678
211	107.1334938
212	106.9085461
213	106.5016303
214	106.0945794
215	105.8730268
216	105.4478433
217	105.1979065
218	104.7753074
219	104.5097032
220	104.3118295
221	104.132386
222	103.9397913
223	103.5540782
224	103.3616022
225	103.0187435
226	102.7421573
227	102.4858067
228	102.0649839
229	101.8093397
230	101.5045126
231	101.2784458
232	100.9903642
233	100.7376622
234	100.4317439
235	100.2330124
236	100.0197476
237	99.80652869
238	99.31239309
239	98.91281344
240	98.68332384
241	98.51715054
242	98.34315092
243	98.02879534
244	97.87779719
245	97.79302389
246	97.5633042
247	97.35404786
248	97.08729917
249	96.94006163
250	96.53141914
251	96.32229612
252	96.16605576
253	95.87239444
254	95.70385032
255	95.50390246
256	95.12525876
257	94.74006886
258	94.56283852
259	94.22944548
260	93.85836484
261	93.54977749
262	93.39110914
263	93.21938537
264	92.96635036
265	92.8446214
266	92.69718546
267	92.35630753
268	92.23123879
269	91.89112025
270	91.45308781
271	91.26195527
272	91.14194541
273	91.02944706
274	90.66807725
275	90.36692242
276	90.20170859
277	90.06441175
278	89.87859596
279	89.54883266
280	89.28823169
281	89.04696822
282	88.75611245
283	88.60254027
284	88.33751456
285	88.12165744
286	87.85313024
287	87.44782943
288	87.20265215
289	86.96388163
290	86.81630448
291	86.66946948
292	86.4644131
293	86.11658475
294	85.8499693
295	85.62569497
296	85.30078061
297	85.03077744
298	84.64285419
299	84.58024702
300	84.32893598
301	84.00133184
302	83.80099202
303	83.5574213
304	83.33117726
305	82.94238845
306	82.73776378
307	82.49953082
308	82.32403093
309	82.08188514
310	81.88937488
311	81.74722806
312	81.52222137
313	81.36396554
314	81.25903841
315	81.04913212
316	80.87248745
317	80.6170997
318	80.50130608
319	80.35734983
320	80.1582751
321	80.0555226
322	79.81243791
323	79.51589007
324	79.44352541
325	79.29251139
326	79.03695256
327	78.81514563
328	78.72416551
329	78.39898219
330	78.28021258
331	78.11841897
332	77.84485515
333	77.7458751
334	77.42761153
335	77.25043099
336	76.99637354
337	76.75881501
338	76.45163061
339	76.34396201
340	75.98135211
341	75.86595661
342	75.56854576
343	75.31644785
344	75.19839926
345	74.91227754
346	74.66380897
347	74.38406592
348	74.2145656
349	74.06131701
350	73.99132816
351	73.90624253
352	73.7797586
353	73.56576966
354	73.36148248
355	73.21401862
356	72.97973573
357	72.83336289
358	72.73739244
359	72.60985905
360	72.45686153
361	72.38355017
362	72.25943946
363	72.14158547
364	71.81343304
365	71.53604894
366	71.44107679
367	71.31426092
368	71.09576615
369	70.80986995
370	70.59903125
371	70.55450326
372	70.3561317
373	70.22410254
374	70.02886072
375	69.97699886
376	69.78163115
377	69.6459382
378	69.51789494
379	69.39349202
380	69.21309688
381	69.07859264
382	68.9628911
383	68.63945359
384	68.47642317
385	68.32343953
386	68.13220056
387	67.92580809
388	67.7587051
389	67.62376315
390	67.54876022
391	67.42828422
392	67.29664883
393	67.14950352
394	67.0272315
395	66.93522726
396	66.80613008
397	66.66092985
398	66.52524809
399	66.29667182
400	65.92028328
401	65.77548001
402	65.66922744
403	65.30665043
404	65.16950204
405	65.02795431
406	64.94160775
407	64.80971977
408	64.54324204
409	64.51011074
410	64.38742027
411	64.28893475
